Order ID,Order Date,Region,Category,Product Name,Sales,Profit,Quantity,Customer Name
O-1001,2023-01-17,East,Furniture,Cupboard,1162.5,288.21,2,Ravi Kumar
O-1002,2023-02-04,East,Furniture,Bookshelf,1336.98,118.97,3,Arjun Mehta
O-1003,2023-05-28,South,Clothing,Jeans,1518.64,193.7,3,Nisha Gupta
O-1004,2023-01-06,West,Stationery,Pen Set,719.36,110.32,4,Karan Patel
O-1005,2023-07-30,North,Furniture,Bookshelf,1240.53,150.28,1,Nisha Gupta
O-1006,2023-08-14,North,Furniture,Sofa,243.7,16.47,5,Nisha Gupta
O-1007,2023-10-22,South,Furniture,Bookshelf,1456.86,213.24,5,Rohit Verma
O-1008,2023-04-01,East,Clothing,Formal Shirt,729.19,153.71,1,Karan Patel
O-1009,2023-02-11,North,Electronics,Headphones,468.85,102.12,3,Sneha Reddy
O-1010,2023-01-01,South,Clothing,Formal Shirt,1670.34,295.18,2,Vikram Rao
O-1011,2023-10-04,North,Furniture,Bookshelf,1021.94,124.33,3,Arjun Mehta
O-1012,2023-12-07,West,Furniture,Sofa,1337.96,315.22,3,Rohit Verma
O-1013,2023-12-02,West,Electronics,Laptop,1526.68,350.9,3,Karan Patel
O-1014,2023-06-02,South,Furniture,Bookshelf,1200.97,295.51,2,Rohit Verma
O-1015,2023-01-03,East,Furniture,Cupboard,890.38,200.3,1,Nisha Gupta
O-1016,2023-06-28,South,Furniture,Cupboard,301.07,35.96,1,Karan Patel
O-1017,2023-04-12,West,Clothing,Kurta,1689.31,213.08,5,Rohit Verma
O-1018,2023-03-10,West,Furniture,Table,350.57,70.62,2,Karan Patel
O-1019,2023-09-26,East,Clothing,Formal Shirt,353.92,43.97,2,Vikram Rao
O-1020,2023-01-05,West,Stationery,Pen Set,356.79,27.9,4,Karan Patel
O-1021,2023-03-02,North,Clothing,Denim Jacket,1570.46,265.28,5,Priya Sharma
O-1022,2023-01-03,North,Clothing,Formal Shirt,749.13,72.69,3,Vikram Rao
O-1023,2023-10-15,West,Stationery,Notebook,1858.43,414.07,2,Divya Menon
O-1024,2023-11-14,East,Stationery,Diary,1789.68,215.72,4,Arjun Mehta
O-1025,2023-10-07,North,Stationery,Diary,77.76,16.29,5,Divya Menon
O-1026,2023-01-18,West,Furniture,Office Chair,54.85,3.4,5,Arjun Mehta
O-1027,2023-09-30,North,Clothing,Jeans,1879.55,211.89,4,Rohit Verma
O-1028,2023-12-15,South,Clothing,Denim Jacket,236.45,23.09,2,Sneha Reddy
O-1029,2023-12-16,East,Electronics,Headphones,693.69,117.24,1,Divya Menon
O-1030,2023-07-08,North,Clothing,Denim Jacket,1282.73,279.71,4,Divya Menon
